1	longitude	latitude	housename	housenumber	street	city	postcode	name	name_cy	is_in	place	alt_name	open_hours	phone	shop	url
2	-4.6604224	52.0839973						Aberteifi	Aberteifi		town					
3	-4.6520018	52.1150115						Y Ferwig	Y Ferwig	"Ceredigion, Wales, UK"	hamlet	Ferwig				
4	-4.6803483	52.0818715						St Dogmaels	Llandudoch	"Ceredigion, Wales, UK"	village					
5	-4.7461965	52.0675491						Moylgrove	Trewyddel	"Ceredigion, Wales, UK"	village					
6	-4.7215571	52.0614363						Monington	Eglwys Wythwr	"Pembrokeshire,Wales,UK"	village					
7	-4.6531981	52.0875599						Rigby Ground								
8	-4.6843915	52.1158303						Gwbert		"Ceredigion, Wales, UK"	village					
9	-4.6562347	52.0865631						Cardigan Cenotaph								https://www.wwwmp.co.uk/ceredigion-memorials/cardigan-ww2-war-memorial/
10	-4.6532258	52.0876143						Rugby Ground				Opposite RC Church				
11	-4.6584179	52.085641												+44 1239 612139		
12	-4.6559832	52.0866063												+44 1239 612669		
13	-4.714425	52.1077014						Penrhyn Mawr Holiday Flats								
14	-4.6613617	52.0819184						Safle Bws Grosvenor Hill (bus stop)	Safle Bws Grosvenor Hill							
15	-4.6516906	52.0723351						Otter Hide								
16	-4.6577828	52.0804494	Dyfed Stores		Station Road	Cardigan / Aberteifi	SA43 3AD	Station Road Cafe								https://www.facebook.com/Station-Road-Cafe-2146764655613154/
17	-4.6576004	52.0805087	Dyfed Stores		Heol y Gorsaf / Station Road	Cardigan / Aberteifi	SA43 3AD	Cardigan Kitchens & Tiles	Aberteifi Cegin & Teil					+44 1239 615353	kitchen	
18	-4.6921484	52.1311341						Cardigan Island								
19	-4.666457	52.1174403						Towyn Warren								
20	-4.6900819	52.0909322						Bryn Albro								
21	-4.675246	52.1129822						Pen-Goleu								
22	-4.6777008	52.0747264						Parc-Y-Pratt								
23	-4.6685384	52.09697						Pen Trebared								
24	-4.7281478	52.1032574						Pen Garn								
25	-4.71092	52.1018636						Y Foel								
26	-4.7135995	52.0769288						Pantsaeson Hill								
27	-4.6574827	52.0830305						Stand B	Safle B							
28	-4.6572171	52.0830288						Stand D	Safle D							
29	-4.6574114	52.083159						Stand A	Safle A							
30	-4.6574599	52.0831602						Stand A	Safle A							
31	-4.6574453	52.082985						Stand C	Safle C							
32	-4.6573538	52.0831583						Stand A	Safle A							
33	-4.6609737	52.0810106						Dwrgi Aberteifi	Dwrgi Aberteifi							
34	-4.6615985	52.0810737						Englyn Ceri Wyn	Englyn Ceri Wyn							
35	-4.6609342	52.083706			High Street	Cardigan / Aberteifi		Russian Cannon								https://www.ceredigion.gov.uk/utilities/action/act_download.cfm?mediaid=43496&langtoken=eng
36	-4.6610887	52.0839154						Time Capsule								https://www.ceredigion.gov.uk/utilities/action/act_download.cfm?mediaid=38221&langtoken=eng
37	-4.6607737	52.0840391						tŷ hafan						+44 1239 621825	charity	
38	-4.661043	52.0840608	Canolfan Teifi & Shopping Arcade	2	Pendre	Cardigan / Aberteifi	SA43 1JL									
39	-4.660573	52.0843638	Adelphi Buildings	6	Pendre	Cardigan / Aberteifi	SA43 1JL	Dreams Dance School						+44 7581 186634		
40	-4.6578379	52.0829712		5	Finch's Square	Cardigan / Aberteifi	SA43 1BS	Finch Square Cafe							newsagent	
41	-4.6575084	52.0831618						Stand A	Safle A							
42	-4.694077	52.0650596														https://en.wikipedia.org/wiki/Cardigan_transmitting_station
43	-4.6783433	52.0752543														https://ukfree.tv/transmitters/tv/St_Dogmaels
44	-4.6548741	52.0868183		91	North Road	Cardigan / Aberteifi	SA43 1LT	Calon Salon Teifi						+44 1239 758053	hairdresser	https://www.facebook.com/hairandbeautywithsam/
45	-4.6577167	52.08304						Stand E	Safle E							
46	-4.6520758	52.090252						Maesglas Shop								
47	-4.6543747	52.0911261						Maesglas/Cnwc y Dintir								
